iter	Passed	Remaining
0	2	2721
1	4	2101
2	5	1877
3	6	1710
4	8	1635
5	9	1585
6	10	1549
7	12	1523
8	13	1536
9	15	1524
10	16	1501
11	18	1482
12	19	1467
13	20	1447
14	21	1428
15	23	1426
16	25	1464
17	26	1469
18	28	1479
19	30	1494
20	31	1483
21	33	1488
22	34	1480
23	35	1463
24	37	1451
25	38	1458
26	40	1450
27	41	1443
28	43	1450
29	45	1474
30	47	1473
31	48	1475
32	50	1474
33	51	1473
34	53	1487
35	55	1483
36	56	1474
37	58	1475
38	59	1473
39	61	1469
40	62	1460
41	63	1455
42	65	1450
43	66	1447
44	67	1442
45	69	1439
46	70	1433
47	72	1433
48	73	1432
49	75	1426
50	76	1417
51	77	1409
52	78	1405
53	79	1400
54	81	1395
55	82	1389
56	83	1384
57	84	1379
58	86	1379
59	88	1382
60	89	1382
61	91	1379
62	92	1378
63	94	1376
64	95	1374
65	96	1370
66	98	1367
67	99	1364
68	101	1362
69	102	1363
70	104	1363
71	105	1360
72	107	1361
73	108	1358
74	109	1354
75	111	1351
76	112	1347
77	113	1343
78	114	1338
79	116	1339
80	117	1337
81	119	1337
82	120	1329
83	121	1329
84	125	1347
85	126	1349
86	128	1347
87	129	1345
88	131	1351
89	133	1351
90	134	1347
91	136	1345
92	137	1342
93	139	1341
94	140	1339
95	141	1337
96	143	1334
97	144	1332
98	146	1333
99	148	1335
100	149	1333
101	151	1331
102	152	1330
103	154	1329
104	155	1327
105	156	1323
106	158	1322
107	160	1321
108	161	1321
109	163	1321
110	165	1321
111	166	1320
112	167	1318
113	169	1316
114	170	1315
115	172	1313
116	173	1309
117	175	1312
118	177	1313
119	178	1311
120	181	1314
121	182	1311
122	183	1308
123	184	1305
124	186	1302
125	187	1301
126	189	1299
127	190	1300
128	192	1300
129	194	1299
130	195	1298
131	197	1296
132	198	1294
133	200	1295
134	202	1294
135	203	1291
136	204	1291
137	206	1289
138	207	1288
139	209	1285
140	210	1282
141	211	1276
142	213	1278
143	214	1277
144	216	1275
145	217	1273
146	219	1271
147	220	1268
148	221	1267
149	223	1268
150	225	1267
151	226	1266
152	228	1264
153	229	1262
154	231	1259
155	232	1258
156	234	1257
157	235	1257
158	237	1255
159	238	1253
160	239	1248
161	240	1245
162	242	1243
163	243	1240
164	244	1237
165	245	1235
166	247	1234
167	249	1233
168	250	1232
169	252	1230
170	253	1228
171	254	1226
172	256	1225
173	257	1223
174	258	1220
175	260	1218
176	262	1218
177	263	1217
178	265	1216
179	266	1214
180	268	1212
181	269	1211
182	270	1208
183	272	1206
184	273	1205
185	274	1202
186	276	1200
187	277	1199
188	279	1200
189	281	1198
190	282	1195
191	283	1193
192	284	1191
193	286	1188
194	287	1186
195	288	1183
196	289	1181
197	291	1181
198	293	1181
199	294	1179
200	296	1177
201	297	1175
202	298	1172
203	299	1170
204	301	1168
205	302	1166
206	303	1163
207	304	1160
208	306	1159
209	307	1158
210	309	1156
211	310	1154
212	311	1152
213	313	1150
214	314	1147
215	315	1146
216	317	1144
217	318	1141
218	319	1139
219	321	1139
220	322	1138
221	324	1135
222	325	1133
223	326	1131
224	327	1128
225	328	1126
226	330	1124
227	331	1121
228	332	1119
229	333	1117
230	336	1118
231	337	1118
232	339	1116
233	340	1114
234	341	1111
235	342	1109
236	343	1107
237	345	1104
238	346	1102
239	347	1099
240	348	1097
241	349	1096
242	351	1096
243	353	1094
244	354	1091
245	355	1089
246	356	1087
247	358	1085
248	359	1083
249	360	1080
250	361	1078
251	362	1077
252	364	1075
253	366	1075
254	367	1074
255	368	1072
256	370	1070
257	371	1068
258	372	1066
259	374	1064
260	375	1062
261	376	1060
262	377	1058
263	379	1057
264	381	1057
265	382	1056
266	384	1054
267	385	1053
268	387	1052
269	388	1050
270	390	1049
271	391	1047
272	392	1045
273	394	1046
274	396	1045
275	398	1044
276	399	1043
277	401	1042
278	403	1041
279	404	1040
280	406	1039
281	407	1037
282	409	1037
283	411	1036
284	412	1035
285	414	1033
286	415	1031
287	416	1029
288	417	1027
289	419	1025
290	420	1023
291	421	1021
292	422	1019
293	424	1019
294	426	1018
295	427	1017
296	429	1016
297	430	1015
298	432	1013
299	433	1011
300	434	1009
301	436	1008
302	438	1008
303	440	1007
304	441	1006
305	443	1004
306	444	1003
307	446	1002
308	447	1000
309	449	999
310	450	998
311	451	996
312	454	996
313	455	995
314	457	994
315	459	993
316	460	992
317	461	990
318	463	988
319	464	986
320	465	984
321	466	983
322	468	982
323	470	981
324	471	979
325	473	978
326	474	976
327	476	976
328	478	975
329	479	973
330	480	971
331	483	972
332	484	971
333	486	969
334	487	968
335	489	967
336	491	966
337	492	965
338	494	963
339	495	962
340	497	962
341	499	960
342	500	958
343	501	956
344	503	955
345	504	953
346	505	951
347	507	949
348	508	948
349	509	946
350	510	944
351	512	943
352	514	942
353	515	940
354	516	939
355	518	937
356	519	936
357	520	934
358	522	932
359	523	930
360	524	928
361	525	926
362	527	925
363	528	924
364	530	922
365	531	920
366	532	919
367	534	917
368	535	916
369	537	914
370	538	912
371	539	910
372	540	909
373	542	908
374	544	906
375	545	904
376	546	902
377	547	901
378	549	899
379	550	897
380	551	896
381	553	895
382	554	893
383	555	891
384	557	890
385	558	888
386	559	886
387	560	884
388	562	882
389	563	881
390	564	879
391	565	877
392	567	875
393	568	873
394	569	872
395	572	872
396	573	871
397	574	869
398	576	868
399	577	866
400	579	865
401	580	863
402	581	861
403	583	860
404	584	858
405	586	857
